t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.537414 , -0.957836 , 0.81351 , 0.371725 , 0.957494 , 0.485002 , 0.829437 , 0.589994 , 0.345683
1 , 0.240409 , 0.784114 , 0.0282723 , 0.591302 , 0.791346 , 0.180474 , 0.642761 , -0.428598 , -0.650493 , 0.849452
2 , 0.496384 , 0.397414 , 0.885714 , 0.535049 , 0.042013 , 0.656783 , 0.28024 , -0.336051 , 0.144864 , -0.671072
3 , 0.768309 , 0.440887 , 0.469637 , 0.665439 , 0.089573 , 0.505045 , 0.462829 , 0.513678 , 0.307895 , 0.070864
4 , 0.5397 , 0.379205 , 0.145659 , 0.0261922 , 0.453362 , 0.558556 , 0.455956 , -0.296598 , 0.719668 , 0.430982
5 , 0.138438 , -0.474839 , 0.335777 , 0.369718 , 0.563196 , 0.969604 , 0.314006 , -0.0220788 , 0.191596 , 0.036317
6 , 0.863105 , 0.428674 , 0.480721 , -0.772571 , 0.87441 , 0.2094 , 0.678203 , 0.645911 , 0.909513 , 0.0330515
7 , 0.527005 , 0.965214 , 0.914646 , 0.366817 , 0.436042 , 0.141557 , 0.682131 , -0.51322 , 0.752153 , 0.353343
8 , 0.427957 , 0.752395 , 0.602387 , 0.65441 , 0.374258 , 0.78576 , -0.571543 , 0.315485 , 0.988562 , 0.538072
9 , 0.499375 , 0.0894559 , -0.398303 , 0.5432 , 0.228816 , 0.71572 , 0.218994 , 0.0108128 , 0.0346573 , 0.76516

t = 5
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.429931 , -0.766268 , 0.81351 , 0.29738 , 0.765995 , 0.485002 , 0.66355 , 0.589994 , 0.345683
1 , 0.240409 , 0.827292 , 0.222618 , 0.591302 , 0.833077 , 0.344379 , 0.642761 , -0.542878 , -0.650493 , 0.849452
2 , 0.496384 , 0.517932 , 0.908571 , 0.535049 , 0.23361 , 0.725426 , 0.28024 , -0.468841 , 0.144864 , -0.671072
3 , 0.768309 , 0.35271 , 0.37571 , 0.665439 , 0.0716584 , 0.404036 , 0.462829 , 0.410942 , 0.307895 , 0.070864
4 , 0.5397 , 0.503364 , 0.316527 , 0.0261922 , 0.56269 , 0.646845 , 0.455956 , -0.437278 , 0.719668 , 0.430982
5 , 0.138438 , -0.579871 , 0.468621 , 0.369718 , 0.650557 , 0.975683 , 0.314006 , -0.217663 , 0.191596 , 0.036317
6 , 0.863105 , 0.342939 , 0.384577 , -0.772571 , 0.699528 , 0.16752 , 0.678203 , 0.516729 , 0.909513 , 0.0330515
7 , 0.527005 , 0.972171 , 0.931717 , 0.366817 , 0.548834 , 0.313246 , 0.682131 , -0.610576 , 0.752153 , 0.353343
8 , 0.427957 , 0.601916 , 0.481909 , 0.65441 , 0.299407 , 0.628608 , -0.571543 , 0.252388 , 0.988562 , 0.538072
9 , 0.499375 , 0.0715647 , -0.318643 , 0.5432 , 0.183052 , 0.572576 , 0.218994 , 0.00865026 , 0.0346573 , 0.76516

t = 6
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.343945 , -0.766268 , 0.81351 , 0.29738 , 0.765995 , 0.485002 , 0.66355 , 0.471995 , 0.276547
1 , 0.240409 , 0.861833 , 0.222618 , 0.591302 , 0.833077 , 0.344379 , 0.642761 , -0.542878 , -0.720395 , 0.879562
2 , 0.496384 , 0.414345 , 0.908571 , 0.535049 , 0.23361 , 0.725426 , 0.28024 , -0.468841 , 0.115891 , -0.536857
3 , 0.768309 , 0.282168 , 0.37571 , 0.665439 , 0.0716584 , 0.404036 , 0.462829 , 0.410942 , 0.246316 , 0.0566912
4 , 0.5397 , 0.402691 , 0.316527 , 0.0261922 , 0.56269 , 0.646845 , 0.455956 , -0.437278 , 0.575735 , 0.344786
5 , 0.138438 , -0.463897 , 0.468621 , 0.369718 , 0.650557 , 0.975683 , 0.314006 , -0.217663 , 0.153277 , 0.0290536
6 , 0.863105 , 0.274351 , 0.384577 , -0.772571 , 0.699528 , 0.16752 , 0.678203 , 0.516729 , 0.72761 , 0.0264412
7 , 0.527005 , 0.777737 , 0.931717 , 0.366817 , 0.548834 , 0.313246 , 0.682131 , -0.610576 , 0.601722 , 0.282675
8 , 0.427957 , 0.681533 , 0.481909 , 0.65441 , 0.299407 , 0.628608 , -0.571543 , 0.252388 , 0.99085 , 0.630457
9 , 0.499375 , 0.257252 , -0.318643 , 0.5432 , 0.183052 , 0.572576 , 0.218994 , 0.00865026 , 0.227726 , 0.812128

t = 7
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.738492 , -0.343945 , -0.766268 , 0.81351 , 0.237904 , 0.765995 , 0.388001 , 0.66355 , 0.471995 , 0.276547
1 , 0.240409 , 0.861833 , 0.222618 , 0.591302 , 0.666462 , 0.344379 , 0.514209 , -0.542878 , -0.720395 , 0.879562
2 , 0.496384 , 0.414345 , 0.908571 , 0.535049 , 0.186888 , 0.725426 , 0.224192 , -0.468841 , 0.115891 , -0.536857
3 , 0.768309 , 0.282168 , 0.37571 , 0.665439 , 0.0573268 , 0.404036 , 0.370263 , 0.410942 , 0.246316 , 0.0566912
4 , 0.5397 , 0.402691 , 0.316527 , 0.0261922 , 0.650152 , 0.646845 , 0.564765 , -0.437278 , 0.575735 , 0.344786
5 , 0.138438 , -0.463897 , 0.468621 , 0.369718 , 0.520445 , 0.975683 , 0.251205 , -0.217663 , 0.153277 , 0.0290536
6 , 0.863105 , 0.274351 , 0.384577 , -0.772571 , 0.759623 , 0.16752 , 0.742562 , 0.516729 , 0.72761 , 0.0264412
7 , 0.527005 , 0.777737 , 0.931717 , 0.366817 , 0.439067 , 0.313246 , 0.545705 , -0.610576 , 0.601722 , 0.282675
8 , 0.427957 , 0.681533 , 0.481909 , 0.65441 , 0.239525 , 0.628608 , -0.457234 , 0.252388 , 0.99085 , 0.630457
