N_ID , 
0 , 0.866573 , 0.616573 , 1.61657 , 2.61657 , 3.61657 , 4.61657 , 5.61657 , 6.61657 , 7.61657 , 8.61657 ,  
1 , 0.0265206 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
2 , 0.223884 , 1.22388 , 0.973884 , 1.97388 , 2.97388 , 3.97388 , 4.97388 , 5.97388 , 6.97388 , 7.97388 ,  
3 , 0.671834 , 1.67183 , 2.67183 , 3.67183 , 4.67183 , 5.67183 , 6.67183 , 7.67183 , 8.67183 , 9.67183 ,  
4 , 0.49266 , 0.24266 , 1.24266 , 2.24266 , 3.24266 , 4.24266 , 5.24266 , 6.24266 , 7.24266 , 8.24266 ,  
5 , 0.182043 , 1.18204 , 2.18204 , 3.18204 , 4.18204 , 5.18204 , 6.18204 , 7.18204 , 8.18204 , 9.18204 ,  
6 , 0.220252 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
7 , 0.600574 , 0.350574 , 1.35057 , 2.35057 , 3.35057 , 4.35057 , 5.35057 , 6.35057 , 7.35057 , 8.35057 ,  
8 , 0.0328684 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
9 , 0.342021 , 0.0920209 , 1.09202 , 2.09202 , 3.09202 , 4.09202 , 5.09202 , 6.09202 , 7.09202 , 8.09202 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
