t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.972472 , 0.39552 , -0.142094 , -0.628742 , 0.641865 , 0.689138 , -0.0734886 , 0.880184 , 0.879269 , 0.0220344
1 , 0.59798 , 0.966887 , 0.0426649 , -0.089053 , 0.574297 , 0.178259 , 0.117222 , 0.928373 , 0.864345 , 0.856563
2 , 0.402875 , -0.927366 , -0.274972 , 0.479507 , 0.341868 , -0.060213 , 0.491745 , 0.4803 , 0.418806 , 0.437544
3 , 0.317331 , -0.47499 , 0.689932 , 0.624226 , 0.827052 , 0.68511 , 0.399579 , -0.539598 , 0.840541 , 0.957305
4 , 0.316996 , 0.618702 , -0.754234 , 0.826258 , 0.202246 , 0.0168767 , 0.419996 , 0.983032 , 0.457991 , -0.977905
5 , 0.121067 , 0.489578 , 0.860286 , 0.241737 , 0.0959502 , 0.457381 , -0.250221 , 0.934049 , 0.46025 , -0.423688
6 , 0.935545 , 0.986114 , 0.74279 , 0.874325 , 0.921079 , -0.835017 , 0.881954 , 0.655629 , 0.908292 , 0.592547
7 , 0.524613 , 0.12772 , 0.249336 , -0.181341 , -0.138188 , 0.318949 , 0.786279 , 0.169774 , 0.412336 , 0.164251
8 , 0.21485 , 0.327982 , -0.586047 , -0.124058 , 0.393262 , 0.0868252 , 0.967132 , 0.666951 , 0.788965 , -0.237709
9 , 0.616199 , 0.883602 , 0.505783 , 0.589465 , 0.0963469 , -0.717948 , 0.243049 , 0.723655 , 0.941435 , 0.172399

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.972472 , 0.39552 , -0.142094 , -0.628742 , 0.641865 , 0.689138 , -0.0734886 , 0.880184 , 0.879269 , 0.0220344
1 , 0.59798 , 0.966887 , 0.0426649 , -0.089053 , 0.574297 , 0.178259 , 0.117222 , 0.928373 , 0.864345 , 0.856563
2 , 0.5223 , -0.941893 , -0.419977 , 0.583605 , 0.473495 , -0.24817 , 0.593396 , 0.58424 , 0.535044 , 0.550035
3 , 0.317331 , -0.47499 , 0.689932 , 0.624226 , 0.827052 , 0.68511 , 0.399579 , -0.539598 , 0.840541 , 0.957305
