Time , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 10 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Activity , 0.357143 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
