N_ID , 
0 , 0.61446 , 0.36446 , 1.36446 , 2.36446 , 3.36446 , 4.36446 , 5.36446 , 6.36446 , 7.36446 , 8.36446 ,  
1 , 0.171331 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
2 , 0.416822 , 1.41682 , 2.41682 , 3.41682 , 4.41682 , 5.41682 , 6.41682 , 7.41682 , 8.41682 , 9.41682 ,  
3 , 0.831935 , 1.83193 , 2.83193 , 3.83193 , 4.83193 , 5.83193 , 6.83193 , 7.83193 , 8.83193 , 9.83193 ,  
4 , 0.932279 , 1.93228 , 2.93228 , 3.93228 , 4.93228 , 5.93228 , 6.93228 , 7.93228 , 8.93228 , 9.93228 ,  
5 , 0.693655 , 0.443655 , 1.44366 , 2.44366 , 3.44366 , 4.44366 , 5.44366 , 6.44366 , 7.44366 , 8.44366 ,  
6 , 0.424787 , 1.42479 , 2.42479 , 3.42479 , 4.42479 , 5.42479 , 6.42479 , 7.42479 , 8.42479 , 9.42479 ,  
7 , 0.0774255 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
8 , 0.405072 , 1.40507 , 2.40507 , 3.40507 , 4.40507 , 5.40507 , 6.40507 , 7.40507 , 8.40507 , 9.40507 ,  
9 , 0.594256 , 0.344256 , 1.34426 , 2.34426 , 3.34426 , 4.34426 , 5.34426 , 6.34426 , 7.34426 , 8.34426 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
