ROW , 
0 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
1 , 1 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
2 , 1 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
3 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
4 , 4 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 13 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Explore , 0.464286 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
