t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.564623 , 0.718467 , 0.695822 , 0.867733 , 0.0466018 , -0.469527 , 0.480697 , 0.222663 , 0.561632 , 0.934996
1 , 0.930845 , 0.0550249 , -0.438337 , 0.146062 , 0.859615 , 0.70983 , 0.946104 , 0.339549 , 0.485763 , 0.674825
2 , 0.228187 , 0.813257 , -0.54622 , 0.106998 , 0.607044 , -0.856105 , 0.658467 , 0.137028 , 0.859462 , 0.988006
3 , -0.447737 , 0.209418 , 0.24308 , 0.623676 , 0.548448 , 0.353465 , 0.710685 , 0.287698 , 0.218787 , 0.657063
4 , 0.490982 , 0.637165 , 0.670278 , 0.0831629 , 0.699759 , -0.212806 , 0.699759 , 0.72692 , 0.911679 , 0.869503
5 , 0.157323 , 0.229499 , -0.984863 , -0.0599078 , 0.629902 , 0.207739 , -0.251625 , 0.356822 , -0.796625 , 0.645283
6 , 0.330241 , 0.162084 , 0.345897 , 0.961699 , -0.0889004 , 0.68215 , 0.727378 , 0.947233 , 0.692526 , 0.949095
7 , -0.947874 , 0.946745 , 0.926786 , -0.933897 , 0.932524 , 0.824854 , 0.360668 , 0.943632 , 0.372082 , 0.697256
8 , 0.784051 , 0.903409 , 0.225349 , 0.173284 , 0.413648 , 0.513382 , 0.893765 , -0.17832 , 0.137486 , 0.581469
9 , 0.435896 , 0.0816675 , 0.196661 , -0.414441 , 0.108127 , -0.889004 , 0.830378 , -0.0104984 , 0.172979 , 0.242347

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.564623 , 0.718467 , 0.695822 , 0.867733 , 0.0466018 , -0.469527 , 0.480697 , 0.222663 , 0.561632 , 0.934996
1 , 0.930845 , 0.0550249 , -0.438337 , 0.146062 , 0.859615 , 0.70983 , 0.946104 , 0.339549 , 0.485763 , 0.674825
2 , 0.38255 , 0.850606 , -0.636976 , 0.285598 , 0.685635 , -0.884884 , 0.726774 , 0.309622 , 0.88757 , 0.990405
3 , -0.55819 , 0.367534 , 0.394464 , 0.698941 , 0.638759 , 0.482772 , 0.768548 , 0.430158 , 0.37503 , 0.725651
4 , 0.592785 , 0.709732 , 0.736222 , 0.26653 , 0.759807 , -0.370244 , 0.759807 , 0.781536 , 0.929344 , 0.895602
5 , 0.157323 , 0.229499 , -0.984863 , -0.0599078 , 0.629902 , 0.207739 , -0.251625 , 0.356822 , -0.796625 , 0.645283
6 , 0.464193 , 0.329667 , 0.476717 , 0.969359 , -0.27112 , 0.74572 , 0.781902 , 0.957787 , 0.754021 , 0.959276
7 , -0.947874 , 0.946745 , 0.926786 , -0.933897 , 0.932524 , 0.824854 , 0.360668 , 0.943632 , 0.372082 , 0.697256
8 , 0.827241 , 0.922727 , 0.380279 , 0.338627 , 0.530918 , 0.610706 , 0.915012 , -0.342656 , 0.309989 , 0.665175
9 , 0.435896 , 0.0816675 , 0.196661 , -0.414441 , 0.108127 , -0.889004 , 0.830378 , -0.0104984 , 0.172979 , 0.242347

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.564623 , 0.718467 , 0.695822 , 0.867733 , 0.0466018 , -0.469527 , 0.480697 , 0.222663 , 0.561632 , 0.934996
1 , 0.930845 , 0.0550249 , -0.438337 , 0.146062 , 0.859615 , 0.70983 , 0.946104 , 0.339549 , 0.485763 , 0.674825
2 , 0.50604 , 0.880485 , -0.709581 , 0.428479 , 0.748508 , -0.907907 , 0.781419 , 0.447698 , 0.910056 , 0.992324
3 , -0.646552 , 0.494028 , 0.515571 , 0.759153 , 0.711007 , 0.586218 , 0.814838 , 0.544127 , 0.500024 , 0.780521
4 , 0.592785 , 0.709732 , 0.736222 , 0.26653 , 0.759807 , -0.370244 , 0.759807 , 0.781536 , 0.929344 , 0.895602
5 , 0.325858 , 0.383599 , -0.98789 , -0.247926 , 0.703922 , 0.366192 , -0.4013 , 0.485458 , -0.8373 , 0.716227
6 , 0.571354 , 0.463734 , 0.581374 , 0.975488 , -0.416896 , 0.796576 , 0.825522 , 0.966229 , 0.803217 , 0.967421
7 , -0.9583 , 0.957396 , 0.941429 , -0.947118 , 0.946019 , 0.859883 , 0.488534 , 0.954906 , 0.497665 , 0.757805
8 , 0.861793 , 0.938182 , 0.504223 , 0.470902 , 0.624735 , 0.688565 , 0.93201 , -0.474125 , 0.447991 , 0.73214
9 , 0.548717 , 0.265334 , 0.357329 , -0.531553 , 0.286502 , -0.911203 , 0.864303 , -0.208399 , 0.338383 , 0.393878

t = 3
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.651698 , 0.774773 , 0.756658 , 0.894186 , 0.237281 , -0.575622 , 0.584558 , 0.37813 , 0.649306 , 0.947996
1 , 0.930845 , 0.0550249 , -0.438337 , 0.146062 , 0.859615 , 0.70983 , 0.946104 , 0.339549 , 0.485763 , 0.674825
2 , 0.604832 , 0.904388 , -0.767665 , 0.542783 , 0.798806 , -0.926326 , 0.825135 , 0.558158 , 0.928045 , 0.993859
3 , -0.717241 , 0.595222 , 0.612457 , 0.807322 , 0.768805 , 0.668974 , 0.85187 , 0.635301 , 0.600019 , 0.824417
4 , 0.592785 , 0.709732 , 0.736222 , 0.26653 , 0.759807 , -0.370244 , 0.759807 , 0.781536 , 0.929344 , 0.895602
5 , 0.460687 , 0.506879 , -0.990312 , -0.398341 , 0.763137 , 0.492953 , -0.52104 , 0.588366 , -0.86984 , 0.772981
6 , 0.571354 , 0.463734 , 0.581374 , 0.975488 , -0.416896 , 0.796576 , 0.825522 , 0.966229 , 0.803217 , 0.967421
7 , -0.96664 , 0.965917 , 0.953143 , -0.957694 , 0.956815 , 0.887907 , 0.590827 , 0.963925 , 0.598132 , 0.806244
8 , 0.889434 , 0.950545 , 0.603379 , 0.576721 , 0.699788 , 0.750852 , 0.945608 , -0.5793 , 0.558393 , 0.785712
9 , 0.638973 , 0.412267 , 0.485863 , -0.625242 , 0.429201 , -0.928963 , 0.891442 , -0.366719 , 0.470707 , 0.515102

t = 4
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.651698 , 0.774773 , 0.756658 , 0.894186 , 0.237281 , -0.575622 , 0.584558 , 0.37813 , 0.649306 , 0.947996
1 , 0.930845 , 0.0550249 , -0.438337 , 0.146062 , 0.859615 , 0.70983 , 0.946104 , 0.339549 , 0.485763 , 0.674825
2 , 0.604832 , 0.904388 , -0.767665 , 0.542783 , 0.798806 , -0.926326 , 0.825135 , 0.558158 , 0.928045 , 0.993859
3 , -0.773793 , 0.676178 , 0.689966 , 0.845858 , 0.815044 , 0.735179 , 0.881496 , 0.708241 , 0.680015 , 0.859533
4 , 0.674228 , 0.767786 , 0.788978 , 0.413224 , 0.807846 , -0.496196 , 0.807846 , 0.825229 , 0.943475 , 0.916482
