t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.692709 , 0.441755 , 0.224921 , 0.0838038 , -0.613453 , 0.595996 , 0.8858 , 0.324564 , 0.208594 , 0.506729
1 , 0.700522 , 0.0335398 , 0.739982 , 0.559526 , 0.512528 , 0.123325 , 0.597705 , 0.915403 , 0.687094 , 0.970183
2 , 0.675741 , 0.501022 , 0.00332652 , 0.455947 , 0.866298 , 0.782006 , 0.399762 , -0.964934 , -0.767266 , 0.788232
3 , -0.916929 , 0.0547807 , 0.196173 , 0.359661 , 0.681234 , 0.0198065 , -0.604755 , 0.0820032 , 0.273476 , -0.0655538
4 , 0.987426 , 0.880123 , 0.325877 , 0.3137 , -0.377728 , 0.73867 , 0.691458 , -0.355632 , 0.526566 , -0.518479
5 , 0.0292062 , -0.573504 , 0.855434 , 0.33723 , 0.149358 , 0.947844 , 0.279336 , 0.483352 , 0.961882 , -0.570116
6 , 0.992218 , 0.331919 , 0.372356 , 0.579028 , 0.808924 , 0.231361 , 0.968963 , 0.739616 , 0.158055 , 0.829432
7 , 0.84402 , -0.383526 , 0.318583 , 0.807306 , 0.394208 , -0.92938 , 0.994232 , 0.491134 , 0.443068 , 0.701956
8 , -0.819941 , 0.308634 , 0.529313 , 0.269082 , 0.893399 , 0.560686 , 0.705161 , 0.0146489 , 0.925779 , -0.475692
9 , 0.687979 , -0.166875 , 0.10535 , 0.0162358 , 0.709403 , 0.000305185 , 0.267983 , 0.406262 , 0.90524 , 0.430464

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.754167 , 0.553404 , 0.379937 , 0.0838038 , -0.690762 , 0.595996 , 0.8858 , 0.324564 , 0.366875 , 0.605383
1 , 0.760418 , 0.226832 , 0.791986 , 0.559526 , 0.610022 , 0.123325 , 0.597705 , 0.915403 , 0.749675 , 0.976147
2 , 0.740593 , 0.600818 , 0.202661 , 0.455947 , 0.893039 , 0.782006 , 0.399762 , -0.964934 , -0.813813 , 0.830586
3 , -0.733543 , 0.0438246 , 0.156938 , 0.359661 , 0.544987 , 0.0198065 , -0.604755 , 0.0820032 , 0.218781 , -0.052443
4 , 0.989941 , 0.904099 , 0.460701 , 0.3137 , -0.502182 , 0.73867 , 0.691458 , -0.355632 , 0.621253 , -0.614783
5 , 0.023365 , -0.458803 , 0.684347 , 0.33723 , 0.119486 , 0.947844 , 0.279336 , 0.483352 , 0.769506 , -0.456093
6 , 0.793774 , 0.265535 , 0.297885 , 0.579028 , 0.647139 , 0.231361 , 0.968963 , 0.739616 , 0.126444 , 0.663546
7 , 0.675216 , -0.306821 , 0.254866 , 0.807306 , 0.315366 , -0.92938 , 0.994232 , 0.491134 , 0.354454 , 0.561565
8 , -0.855953 , 0.446907 , 0.62345 , 0.269082 , 0.914719 , 0.560686 , 0.705161 , 0.0146489 , 0.940623 , -0.580554
9 , 0.750383 , -0.3335 , 0.28428 , 0.0162358 , 0.767522 , 0.000305185 , 0.267983 , 0.406262 , 0.924192 , 0.544371

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.803334 , 0.553404 , 0.379937 , 0.0838038 , -0.75261 , 0.595996 , 0.90864 , 0.324564 , 0.366875 , 0.684307
1 , 0.608334 , 0.226832 , 0.791986 , 0.559526 , 0.488018 , 0.123325 , 0.478164 , 0.915403 , 0.749675 , 0.780917
2 , 0.592474 , 0.600818 , 0.202661 , 0.455947 , 0.714431 , 0.782006 , 0.31981 , -0.964934 , -0.813813 , 0.664469
3 , -0.586834 , 0.0438246 , 0.156938 , 0.359661 , 0.43599 , 0.0198065 , -0.483804 , 0.0820032 , 0.218781 , -0.0419544
4 , 0.991953 , 0.904099 , 0.460701 , 0.3137 , -0.601746 , 0.73867 , 0.753166 , -0.355632 , 0.621253 , -0.691827
5 , 0.018692 , -0.458803 , 0.684347 , 0.33723 , 0.0955889 , 0.947844 , 0.223469 , 0.483352 , 0.769506 , -0.364874
6 , 0.835019 , 0.265535 , 0.297885 , 0.579028 , 0.717711 , 0.231361 , 0.97517 , 0.739616 , 0.126444 , 0.730837
7 , 0.540173 , -0.306821 , 0.254866 , 0.807306 , 0.252293 , -0.92938 , 0.795386 , 0.491134 , 0.354454 , 0.449252
8 , -0.684762 , 0.446907 , 0.62345 , 0.269082 , 0.731775 , 0.560686 , 0.564129 , 0.0146489 , 0.940623 , -0.464443
9 , 0.800306 , -0.3335 , 0.28428 , 0.0162358 , 0.814018 , 0.000305185 , 0.414386 , 0.406262 , 0.924192 , 0.635497

t = 3
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.842667 , 0.553404 , 0.50395 , 0.267043 , -0.75261 , 0.595996 , 0.926912 , 0.459651 , 0.4935 , 0.684307
1 , 0.486667 , 0.226832 , 0.633589 , 0.447621 , 0.488018 , 0.123325 , 0.382531 , 0.732322 , 0.59974 , 0.780917
2 , 0.673979 , 0.600818 , 0.362129 , 0.564757 , 0.714431 , 0.782006 , 0.455848 , -0.971947 , -0.85105 , 0.664469
3 , -0.669467 , 0.0438246 , 0.325551 , 0.487729 , 0.43599 , 0.0198065 , -0.587043 , 0.265603 , 0.375025 , -0.0419544
