t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.323985 , 0.949461 , 0.210028 , -0.510788 , -0.672445 , 0.36198 , 0.488083 , 0.421094 , 0.144749 , 0.230323
1 , 0.751183 , -0.367565 , 0.237892 , 0.485122 , 0.973022 , 0.85699 , -0.240333 , 0.61504 , -0.958373 , 0.70043
2 , 0.184637 , 0.0738243 , 0.976165 , 0.0425123 , -0.684683 , 0.798975 , 0.386944 , -0.548723 , 0.50148 , 0.0599078
3 , 0.357952 , 0.219733 , 0.181219 , 0.355663 , 0.259957 , 0.801508 , 0.609424 , -0.579455 , 0.839717 , 0.259682
4 , -0.824671 , 0.170171 , -0.76104 , 0.287393 , 0.936003 , 0.468734 , 0.609272 , 0.314798 , 0.487594 , -0.997986
5 , -0.952208 , 0.989502 , 0.114353 , 0.885586 , 0.551256 , 0.59624 , 0.832362 , 0.148137 , 0.317087 , 0.385083
6 , 0.807642 , 0.0552385 , 0.102756 , 0.276193 , 0.9476 , -0.292398 , 0.928861 , 0.910642 , 0.157994 , 0.141606
7 , 0.733696 , 0.515305 , 0.610157 , 0.398328 , 0.242988 , 0.551469 , 0.86111 , 0.243263 , 0.0521867 , -0.614887
8 , -0.171636 , 0.788263 , 0.515519 , 0.55681 , 0.865017 , 0.514542 , 0.535295 , 0.294412 , 0.0702841 , -0.322581
9 , 0.845729 , 0.279427 , -0.694662 , 0.411695 , 0.884182 , -0.0937223 , 0.967528 , 0.70864 , -0.844325 , 0.140629

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.323985 , 0.759569 , 0.168023 , -0.510788 , -0.537956 , 0.289584 , 0.390466 , 0.421094 , 0.144749 , 0.230323
1 , 0.751183 , -0.494052 , 0.390313 , 0.485122 , 0.978417 , 0.885592 , -0.392267 , 0.61504 , -0.958373 , 0.70043
2 , 0.184637 , 0.259059 , 0.980932 , 0.0425123 , -0.747746 , 0.83918 , 0.509555 , -0.548723 , 0.50148 , 0.0599078
3 , 0.357952 , 0.175787 , 0.144975 , 0.355663 , 0.207965 , 0.641206 , 0.487539 , -0.579455 , 0.839717 , 0.259682
4 , -0.824671 , 0.336137 , -0.808832 , 0.287393 , 0.948802 , 0.574987 , 0.687417 , 0.314798 , 0.487594 , -0.997986
5 , -0.952208 , 0.991601 , 0.291482 , 0.885586 , 0.641005 , 0.676992 , 0.865889 , 0.148137 , 0.317087 , 0.385083
6 , 0.807642 , 0.244191 , 0.282205 , 0.276193 , 0.95808 , -0.433918 , 0.943089 , 0.910642 , 0.157994 , 0.141606
7 , 0.733696 , 0.412244 , 0.488125 , 0.398328 , 0.194391 , 0.441176 , 0.688888 , 0.243263 , 0.0521867 , -0.614887
8 , -0.171636 , 0.63061 , 0.412415 , 0.55681 , 0.692013 , 0.411634 , 0.428236 , 0.294412 , 0.0702841 , -0.322581
9 , 0.845729 , 0.223542 , -0.55573 , 0.411695 , 0.707346 , -0.0749779 , 0.774023 , 0.70864 , -0.844325 , 0.140629

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.323985 , 0.607655 , 0.134418 , -0.408631 , -0.537956 , 0.231667 , 0.390466 , 0.421094 , 0.115799 , 0.184259
1 , 0.751183 , -0.595242 , 0.512251 , 0.588098 , 0.978417 , 0.908474 , -0.392267 , 0.61504 , -0.966698 , 0.760344
2 , 0.184637 , 0.407248 , 0.984746 , 0.23401 , -0.747746 , 0.871344 , 0.509555 , -0.548723 , 0.601184 , 0.247926
3 , 0.357952 , 0.340629 , 0.31598 , 0.48453 , 0.207965 , 0.712965 , 0.487539 , -0.579455 , 0.871773 , 0.407746
4 , -0.824671 , 0.26891 , -0.647066 , 0.229914 , 0.948802 , 0.45999 , 0.687417 , 0.314798 , 0.390075 , -0.798389
5 , -0.952208 , 0.993281 , 0.433186 , 0.908469 , 0.641005 , 0.741594 , 0.865889 , 0.148137 , 0.45367 , 0.508066
6 , 0.807642 , 0.195353 , 0.225764 , 0.220954 , 0.95808 , -0.347135 , 0.943089 , 0.910642 , 0.126395 , 0.113285
7 , 0.733696 , 0.329795 , 0.3905 , 0.318662 , 0.194391 , 0.35294 , 0.688888 , 0.243263 , 0.0417493 , -0.49191
8 , -0.171636 , 0.704488 , 0.529932 , 0.645448 , 0.692013 , 0.529307 , 0.428236 , 0.294412 , 0.256227 , -0.458064
9 , 0.845729 , 0.378834 , -0.644584 , 0.529356 , 0.707346 , -0.259982 , 0.774023 , 0.70864 , -0.87546 , 0.312503

t = 3
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.459188 , 0.607655 , 0.134418 , -0.526905 , -0.630365 , 0.385334 , 0.390466 , 0.421094 , 0.115799 , 0.184259
1 , 0.600946 , -0.595242 , 0.512251 , 0.470478 , 0.782734 , 0.726779 , -0.392267 , 0.61504 , -0.966698 , 0.760344
2 , 0.14771 , 0.407248 , 0.984746 , 0.187208 , -0.598197 , 0.697075 , 0.509555 , -0.548723 , 0.601184 , 0.247926
3 , 0.486361 , 0.340629 , 0.31598 , 0.587624 , 0.366372 , 0.770372 , 0.487539 , -0.579455 , 0.871773 , 0.407746
4 , -0.859737 , 0.26891 , -0.647066 , 0.383931 , 0.959042 , 0.567992 , 0.687417 , 0.314798 , 0.390075 , -0.798389
5 , -0.961766 , 0.993281 , 0.433186 , 0.926775 , 0.712804 , 0.793275 , 0.865889 , 0.148137 , 0.45367 , 0.508066
