N_ID , 
0 , 0.899655 , 1.89966 , 2.89966 , 3.89966 , 4.89966 , 5.89966 , 6.89966 , 7.89966 , 8.89966 , 9.89966 ,  
1 , 0.75512 , 1.75512 , 2.75512 , 3.75512 , 4.75512 , 5.75512 , 6.75512 , 7.75512 , 8.75512 , 9.75512 ,  
2 , 0.18067 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
3 , 0.495865 , 1.49586 , 2.49586 , 3.49586 , 4.49586 , 5.49586 , 6.49586 , 7.49586 , 8.49586 , 9.49586 ,  
4 , 0.571215 , 0.321215 , 1.32121 , 2.32121 , 3.32121 , 4.32121 , 5.32121 , 6.32121 , 7.32121 , 8.32121 ,  
5 , 0.393231 , 1.39323 , 2.39323 , 3.39323 , 4.39323 , 5.39323 , 6.39323 , 7.39323 , 8.39323 , 9.39323 ,  
6 , 0.950468 , 0.700468 , 1.70047 , 2.70047 , 3.70047 , 4.70047 , 5.70047 , 6.70047 , 7.70047 , 8.70047 ,  
7 , 0.206366 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
8 , 0.163121 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
9 , 0.0972625 , 1.09726 , 2.09726 , 3.09726 , 4.09726 , 5.09726 , 6.09726 , 7.09726 , 8.09726 , 9.09726 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
