t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.826533 , 0.232337 , 0.0345775 , -0.0832545 , 0.200293 , -0.222663 , 0.931547 , 0.550615 , 0.149327 , 0.643513
1 , -0.492477 , -0.738884 , 0.154515 , 0.639119 , 0.880581 , 0.146764 , 0.821802 , 0.436232 , 0.58797 , -0.415387
2 , 0.278664 , 0.26722 , 0.633839 , 0.604083 , -0.853694 , 0.646931 , 0.217505 , 0.178991 , 0.50792 , 0.346416
3 , -0.545762 , 0.308451 , -0.987335 , 0.908292 , -0.0520341 , -0.558458 , -0.16422 , 0.0462355 , 0.727836 , 0.582812
4 , 0.537431 , 0.773553 , 0.783197 , 0.900479 , 0.358806 , -0.603412 , -0.357006 , 0.355235 , 0.355998 , 0.665731
5 , 0.494217 , 0.3502 , -0.519333 , -0.0832545 , 0.10947 , 0.451888 , 0.922056 , 0.451735 , -0.156224 , 0.456801
6 , 0.0423597 , -0.766656 , 0.719138 , 0.515 , 0.556505 , 0.641713 , 0.249306 , -0.40376 , 0.0707114 , -0.161565
7 , 0.661122 , -0.545732 , -0.762078 , 0.213233 , 0.50853 , 0.864498 , 0.395734 , 0.639912 , -0.960662 , 0.0722373
8 , -0.688131 , -0.0604877 , 0.794946 , 0.48265 , 0.484634 , -0.69921 , 0.126347 , 0.942747 , 0.720389 , 0.0684835
9 , 0.0919218 , 0.977844 , 0.632954 , 0.8493 , 0.209021 , 0.743187 , 0.195929 , 0.812311 , -0.626148 , 0.87579

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.826533 , 0.18587 , 0.027662 , -0.0666036 , 0.200293 , -0.17813 , 0.745238 , 0.550615 , 0.149327 , 0.643513
1 , -0.492477 , -0.791107 , 0.323612 , 0.711295 , 0.880581 , 0.317411 , 0.857442 , 0.436232 , 0.58797 , -0.415387
