Time , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 5 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Activity , 0.178571 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
