t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.962432 , 0.491714 , 0.100101 , -0.306619 , 0.96939 , -0.170568 , 0.550279 , 0.903134 , 0.550859 , 0.0152287
1 , 0.138005 , 0.715873 , -0.823847 , 0.184362 , 0.52324 , 0.943266 , 0.495102 , 0.339579 , 0.186621 , 0.864925
2 , 0.540544 , 0.435102 , 0.72689 , 0.941221 , 0.143712 , 0.4944 , 0.527177 , 0.945738 , -0.738456 , 0.591144
3 , 0.884243 , 0.600177 , -0.498245 , 0.754631 , 0.194433 , 0.679617 , 0.11713 , 0.0172735 , 0.290078 , 0.0571306
4 , -0.224891 , 0.323954 , 0.5197 , 0.657155 , 0.281106 , 0.520829 , 0.666646 , 0.785089 , 0.291269 , 0.143559
5 , 0.298746 , 0.803125 , 0.189001 , 0.222694 , -0.643971 , 0.62035 , 0.228065 , -0.825648 , 0.584735 , 0.966094
6 , 0.22776 , 0.553514 , -0.865413 , -0.915128 , 0.0158086 , 0.711966 , 0.106265 , 0.633595 , 0.912015 , 0.374615
7 , 0.718101 , 0.8146 , 0.596667 , 0.0575274 , 0.310434 , 0.771691 , -0.207953 , 0.224281 , -0.688406 , 0.659474
8 , 0.0108951 , 0.339183 , 0.030488 , 0.789941 , 0.482986 , 0.688772 , -0.342387 , -0.513138 , 0.15891 , 0.689077
9 , -0.779229 , 0.631245 , 0.0795923 , 0.898373 , 0.931364 , 0.814234 , 0.18775 , 0.453413 , 0.666494 , 0.986694

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.962432 , 0.393371 , 0.0800806 , -0.306619 , 0.775512 , -0.136454 , 0.550279 , 0.903134 , 0.550859 , 0.012183
1 , 0.138005 , 0.772698 , -0.859078 , 0.184362 , 0.618592 , 0.954613 , 0.495102 , 0.339579 , 0.186621 , 0.89194
2 , 0.540544 , 0.548082 , 0.781512 , 0.941221 , 0.314969 , 0.59552 , 0.527177 , 0.945738 , -0.738456 , 0.672915
3 , 0.884243 , 0.480142 , -0.398596 , 0.754631 , 0.155547 , 0.543693 , 0.11713 , 0.0172735 , 0.290078 , 0.0457045
4 , -0.224891 , 0.459163 , 0.61576 , 0.657155 , 0.424885 , 0.616663 , 0.666646 , 0.785089 , 0.291269 , 0.314847
5 , 0.298746 , 0.8425 , 0.351201 , 0.222694 , -0.715177 , 0.69628 , 0.228065 , -0.825648 , 0.584735 , 0.972875
6 , 0.22776 , 0.442811 , -0.692331 , -0.915128 , 0.0126469 , 0.569573 , 0.106265 , 0.633595 , 0.912015 , 0.299692
7 , 0.718101 , 0.65168 , 0.477334 , 0.0575274 , 0.248347 , 0.617353 , -0.207953 , 0.224281 , -0.688406 , 0.52758
8 , 0.0108951 , 0.271346 , 0.0243904 , 0.789941 , 0.386389 , 0.551018 , -0.342387 , -0.513138 , 0.15891 , 0.551262
9 , -0.779229 , 0.704996 , 0.263674 , 0.898373 , 0.945091 , 0.851387 , 0.18775 , 0.453413 , 0.666494 , 0.989355

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.969945 , 0.514697 , 0.264064 , -0.306619 , 0.775512 , -0.136454 , 0.640223 , 0.922507 , 0.550859 , 0.012183
1 , 0.310404 , 0.818159 , -0.887262 , 0.184362 , 0.618592 , 0.954613 , 0.596081 , 0.471664 , 0.186621 , 0.89194
2 , 0.632435 , 0.638466 , 0.825209 , 0.941221 , 0.314969 , 0.59552 , 0.621741 , 0.95659 , -0.738456 , 0.672915
3 , 0.707395 , 0.384113 , -0.318877 , 0.754631 , 0.155547 , 0.543693 , 0.093704 , 0.0138188 , 0.290078 , 0.0457045
