Time , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 13 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Activity , 0.464286 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
