N_ID , 
0 , 0.365429 , 1.36543 , 2.36543 , 3.36543 , 4.36543 , 5.36543 , 6.36543 , 7.36543 , 8.36543 , 9.36543 ,  
1 , 0.272134 , 0.0221336 , 1.02213 , 2.02213 , 3.02213 , 4.02213 , 5.02213 , 6.02213 , 7.02213 , 8.02213 ,  
2 , 0.750694 , 0.500694 , 1.50069 , 2.50069 , 3.50069 , 4.50069 , 5.50069 , 6.50069 , 7.50069 , 8.50069 ,  
3 , 0.82992 , 0.57992 , 1.57992 , 2.57992 , 3.57992 , 4.57992 , 5.57992 , 6.57992 , 7.57992 , 8.57992 ,  
4 , 0.215125 , 1.21512 , 2.21513 , 3.21513 , 4.21513 , 5.21513 , 6.21513 , 7.21513 , 8.21513 , 9.21513 ,  
5 , 0.188238 , 1.18824 , 2.18824 , 3.18824 , 4.18824 , 5.18824 , 6.18824 , 7.18824 , 8.18824 , 9.18824 ,  
6 , 0.389874 , 1.38987 , 2.38987 , 3.38987 , 4.38987 , 5.38987 , 6.38987 , 7.38987 , 8.38987 , 9.38987 ,  
7 , 0.400006 , 0.150006 , 1.15001 , 2.15001 , 3.15001 , 4.15001 , 5.15001 , 6.15001 , 7.15001 , 8.15001 ,  
8 , 0.0905484 , 1.09055 , 2.09055 , 3.09055 , 4.09055 , 5.09055 , 6.09055 , 7.09055 , 8.09055 , 9.09055 ,  
9 , 0.658193 , 0.408193 , 1.40819 , 2.40819 , 3.40819 , 4.40819 , 5.40819 , 6.40819 , 7.40819 , 8.40819 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
