N_ID , 
0 , 0.904843 , 1.90484 , 2.90484 , 3.90484 , 4.90484 , 5.90484 , 6.90484 , 7.90484 , 8.90484 , 9.90484 ,  
1 , 0.293252 , 1.29325 , 2.29325 , 3.29325 , 4.29325 , 5.29325 , 6.29325 , 7.29325 , 8.29325 , 9.29325 ,  
2 , 0.0891446 , 1.08914 , 2.08914 , 3.08914 , 4.08914 , 5.08914 , 6.08914 , 7.08914 , 8.08914 , 9.08914 ,  
3 , 0.14948 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 ,  
4 , 0.129795 , 1.1298 , 2.1298 , 3.1298 , 4.1298 , 5.1298 , 6.1298 , 7.1298 , 8.1298 , 9.1298 ,  
5 , 0.688711 , 0.438711 , 1.43871 , 2.43871 , 3.43871 , 4.43871 , 5.43871 , 6.43871 , 7.43871 , 8.43871 ,  
6 , 0.0607318 , 1.06073 , 2.06073 , 3.06073 , 4.06073 , 5.06073 , 6.06073 , 7.06073 , 8.06073 , 9.06073 ,  
7 , 0.653432 , 0.403432 , 1.40343 , 2.40343 , 3.40343 , 4.40343 , 5.40343 , 6.40343 , 7.40343 , 8.40343 ,  
8 , 0.684042 , 0.434042 , 1.43404 , 2.43404 , 3.43404 , 4.43404 , 5.43404 , 6.43404 , 7.43404 , 8.43404 ,  
9 , 0.86108 , 1.86108 , 2.86108 , 3.86108 , 4.86108 , 5.86108 , 6.86108 , 7.86108 , 8.86108 , 9.86108 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
