t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.381312 , -0.839747 , 0.0330135 , 0.382366 , -0.08304 , -0.396812 , 0.015513 , 0.0741905 , -0.175405
1 , 0.958678 , 0.690116 , 0.652364 , -0.973974 , 0.43025 , 0.618601 , 0.965836 , -0.932673 , 0.778802 , 0.626976
2 , 0.435896 , -0.370561 , 0.89758 , 0.065277 , 0.799676 , 0.23552 , 0.0392262 , 0.0850026 , 0.751335 , 0.24477
3 , 0.160222 , 0.67239 , 0.71926 , 0.828382 , 0.256172 , 0.936711 , -0.890359 , 0.742692 , 0.935789 , 0.966262
4 , -0.380779 , 0.0122379 , 0.620838 , 0.40095 , 0.762261 , 0.181156 , 0.101578 , 0.265058 , 0.187353 , 0.0547392
5 , 0.532731 , 0.761205 , 0.31193 , 0.717729 , 0.413984 , 0.969887 , -0.861508 , 0.900272 , 0.0969573 , 0.941861
6 , -0.174108 , 0.955636 , 0.00100711 , 0.906972 , 0.80166 , 0.978237 , 0.897447 , 0.929373 , 0.425794 , 0.983499
7 , -0.0161748 , 0.978674 , 0.549883 , 0.934698 , 0.781365 , 0.667252 , 0.963686 , 0.978187 , 0.91699 , 0.847533
8 , 0.927122 , 0.0875777 , 0.450911 , -0.290734 , 0.709891 , 0.106691 , 0.340085 , 0.374636 , 0.0908841 , 0.197544
9 , 0.773553 , 0.719516 , 0.473067 , -0.639902 , 0.193487 , 0.923173 , -0.713304 , 0.693441 , 0.873989 , -0.75018

t = 5
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.922666 , 0.305049 , -0.839747 , 0.0264108 , 0.382366 , -0.066432 , -0.31745 , 0.0124104 , 0.0741905 , -0.140324
1 , 0.958678 , 0.752092 , 0.652364 , -0.979179 , 0.43025 , 0.694881 , 0.972669 , -0.946138 , 0.778802 , 0.701581
