ROW , 
0 , 5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
1 , 2 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
2 , 3 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
3 , 3 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
4 , 2 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
5 , 6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
6 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
7 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 10 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Explore , 0.357143 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
