t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.276559 , 0.21424 , 0.260872 , 0.797021 , 0.410749 , 0.829432 , -0.381298 , -0.444075 , 0.847926 , 0.724357
1 , 0.930387 , -0.0481582 , 0.296976 , 0.0509964 , 0.38142 , 0.758232 , 0.124332 , 0.016541 , 0.989715 , -0.230598
2 , 0.327647 , 0.710562 , 0.0875271 , 0.781579 , 0.0510269 , -0.32429 , -0.780114 , 0.728813 , -0.984832 , 0.482009
3 , -0.635151 , -0.891354 , 0.493759 , 0.9017 , 0.460799 , 0.716422 , 0.817682 , 0.104923 , 0.764824 , 0.00192267
4 , 0.187994 , 0.394482 , 0.989471 , 0.683615 , -0.204077 , 0.817927 , 0.115207 , 0.654958 , 0.313181 , 0.336375
5 , 0.727714 , 0.0895108 , 0.737388 , 0.917386 , 0.141026 , 0.233802 , 0.691946 , 0.76986 , 0.67156 , -0.139409
6 , 0.238075 , -0.440962 , -0.655965 , 0.30372 , 0.614399 , 0.992523 , 0.306894 , -0.687155 , 0.390545 , -0.976409
7 , 0.000640889 , -0.0764794 , 0.287118 , 0.4279 , 0.0899075 , 0.262459 , 0.00482192 , 0.594806 , 0.83581 , 0.000396741
8 , 0.907743 , 0.621937 , 0.55269 , 0.223334 , 0.903287 , 0.909482 , -0.559893 , 0.475051 , 0.36375 , 0.36372
9 , 0.0334483 , -0.0333567 , -0.432234 , 0.259377 , 0.352367 , 0.691092 , 0.557085 , 0.931761 , 0.0322886 , 0.664113

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.276559 , 0.21424 , 0.260872 , 0.637617 , 0.410749 , 0.829432 , -0.305039 , -0.35526 , 0.678341 , 0.579485
1 , 0.930387 , -0.0481582 , 0.296976 , 0.0407971 , 0.38142 , 0.758232 , 0.0994659 , 0.0132328 , 0.791772 , -0.184478
2 , 0.327647 , 0.710562 , 0.0875271 , 0.625263 , 0.0510269 , -0.32429 , -0.624091 , 0.58305 , -0.787866 , 0.385607
