Time , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 9 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Activity , 0.321429 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
