t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.402295 , 0.932432 , 0.64922 , 0.0863063 , 0.285226 , 0.939909 , 0.808374 , -0.196844 , 0.35551 , 0.35847
1 , 0.726188 , 0.276864 , -0.274209 , -0.610767 , 0.151006 , -0.388745 , 0.619617 , 0.503739 , 0.442 , 0.316172
2 , 0.798181 , -0.25663 , 0.945769 , 0.014832 , 0.00442518 , -0.210273 , 0.969024 , 0.978851 , 0.448286 , 0.311747
3 , 0.815577 , 0.867122 , 0.568926 , 0.968383 , 0.856533 , 0.233314 , 0.453475 , 0.36433 , -0.102359 , 0.702933
4 , 0.179785 , -0.834254 , 0.245796 , 0.441359 , 0.301584 , 0.386883 , 0.644215 , 0.256874 , 0.195044 , 0.973174
5 , 0.209876 , -0.182073 , -0.485458 , 0.591906 , 0.677786 , 0.877438 , -0.272652 , 0.827387 , -0.21839 , 0.701163
6 , 0.374065 , -0.912168 , 0.865627 , 0.788629 , -0.304086 , -0.909085 , 0.727409 , 0.98526 , 0.208533 , 0.106174
7 , 0.448592 , 0.976897 , 0.472945 , 0.218329 , 0.894314 , 0.460982 , -0.223334 , 0.488937 , 0.523026 , 0.702658
8 , 0.43852 , -0.286172 , -0.417615 , -0.319254 , 0.89227 , 0.286935 , 0.443312 , -0.637135 , 0.644429 , -0.842433
9 , 0.501785 , 0.464522 , -0.29957 , 0.619068 , 0.349071 , -0.624073 , -0.752129 , 0.108737 , 0.947203 , 0.0889309

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.402295 , 0.932432 , 0.519376 , 0.0690451 , 0.285226 , 0.939909 , 0.808374 , -0.196844 , 0.35551 , 0.286776
1 , 0.726188 , 0.276864 , -0.219367 , -0.488614 , 0.151006 , -0.388745 , 0.619617 , 0.503739 , 0.442 , 0.252937
2 , 0.798181 , -0.25663 , 0.956615 , 0.211866 , 0.00442518 , -0.210273 , 0.969024 , 0.978851 , 0.448286 , 0.449397
3 , 0.815577 , 0.867122 , 0.655141 , 0.974706 , 0.856533 , 0.233314 , 0.453475 , 0.36433 , -0.102359 , 0.762346
4 , 0.179785 , -0.834254 , 0.196637 , 0.353087 , 0.301584 , 0.386883 , 0.644215 , 0.256874 , 0.195044 , 0.778539
5 , 0.209876 , -0.182073 , -0.388366 , 0.473525 , 0.677786 , 0.877438 , -0.272652 , 0.827387 , -0.21839 , 0.56093
6 , 0.374065 , -0.912168 , 0.692502 , 0.630903 , -0.304086 , -0.909085 , 0.727409 , 0.98526 , 0.208533 , 0.0849391
7 , 0.448592 , 0.976897 , 0.378356 , 0.174664 , 0.894314 , 0.460982 , -0.223334 , 0.488937 , 0.523026 , 0.562127
8 , 0.43852 , -0.286172 , -0.334092 , -0.255403 , 0.89227 , 0.286935 , 0.443312 , -0.637135 , 0.644429 , -0.673946
9 , 0.501785 , 0.464522 , -0.439656 , 0.695254 , 0.349071 , -0.624073 , -0.752129 , 0.108737 , 0.947203 , 0.271145

t = 2
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , 0.402295 , 0.745946 , 0.519376 , 0.0552361 , 0.285226 , 0.939909 , 0.808374 , -0.157476 , 0.284408 , 0.229421
1 , 0.726188 , 0.421491 , -0.219367 , -0.590891 , 0.151006 , -0.388745 , 0.619617 , 0.602991 , 0.5536 , 0.40235
2 , 0.798181 , -0.205304 , 0.956615 , 0.169492 , 0.00442518 , -0.210273 , 0.969024 , 0.783081 , 0.358629 , 0.359518
3 , 0.815577 , 0.893698 , 0.655141 , 0.979765 , 0.856533 , 0.233314 , 0.453475 , 0.491464 , -0.281887 , 0.809877
4 , 0.179785 , -0.667403 , 0.196637 , 0.28247 , 0.301584 , 0.386883 , 0.644215 , 0.205499 , 0.156035 , 0.622831
5 , 0.209876 , -0.145659 , -0.388366 , 0.37882 , 0.677786 , 0.877438 , -0.272652 , 0.66191 , -0.174712 , 0.448744
6 , 0.374065 , -0.729734 , 0.692502 , 0.504722 , -0.304086 , -0.909085 , 0.727409 , 0.788208 , 0.166826 , 0.0679513
7 , 0.448592 , 0.981518 , 0.378356 , 0.339731 , 0.894314 , 0.460982 , -0.223334 , 0.59115 , 0.618421 , 0.649701
8 , 0.43852 , -0.428938 , -0.334092 , -0.404323 , 0.89227 , 0.286935 , 0.443312 , -0.709708 , 0.715543 , -0.739157
