ROW , 
0 , 1 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
1 , 1 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
2 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
3 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
4 , 5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
5 , 6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
7 , 1 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 11 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Explore , 0.392857 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
