ROW , 
0 , 3 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
1 , 5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
2 , 0 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
3 , 5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
4 , 2 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
5 , 5 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
6 , 2 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,  
TIME , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 
Fitness , 8 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 28 , 
Explore , 0.285714 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 
